sepal_length,sepal_width,petal_length,petal_width,species
gAAAAABqhp8-HFRNv8EANA76Cn-sPfiEhWyLyaXafLn9QKlF0RP-mmsT1acp7cgHzcsPdNcttssvClRBFyBxl_Z1zyqd_NnfRA==,gAAAAABqhp8-Upa3fXh1BxHV-YvGLO95CwtlHIQkLjFZ8Me6F27uMGPdpmbvBm40M3ZdcZj5ne3HVcUKD8cT8TTT-u15RfRJvg==,gAAAAABqhp8-nksZIxevd-SvDL_hUpmqxs1ZR_L_SWVmzpnva_bhNOxXGkJbn_c-xzoi62HDDrLLR6xtWmpUnyyxkc53AzeZHg==,gAAAAABqhp8-EdUmWgJ8wywW5wkfXWeBZKDavOjEj4BYtE0T04bDEXp3tKU83meP6PA-Zo8A5OTcZ7UK6zx6PYd8hYf2ci7W0Q==,gAAAAABqhp8-fccn1Grve-18Ehm1lX4oTQc0eGX_s0dWuEQDBjRlzThSYQ55_WHwzsqeeGnYoQ-q6UwiSOost1nRh3ibA6cmxQ==
gAAAAABqhp8--Cmv_f2zNU3iN3okyL8AJJZPl161NJXEWqLpRALTUo95RoICuhrEtOTvbudduc3uDuS2fv3m_i8y9dDoi3yYvQ==,gAAAAABqhp8-b3jSjkh_VMJUNIKDyWAgu79hzZowTXm2kVMjfsEIqStZTiVCjhPY-QkUPCPupGABQe1Epp81y6jH1xjHgyIKtw==,gAAAAABqhp8-_Y9lEyKssl89XpDxZpnKHvow_ICfsRRwBU5xHtY3TaxJw9uFb6JTk_acIbrmFrxxC-gTwS4VaJkRnjRGaoW18g==,gAAAAABqhp8-b07rWh1AS06FPUyiaaxF5Dp3E4vlz3jUpD5L5JGE8nDXsu6fm83YvckalRg95UIhwUMpVYFRu2koRf_f5A2rPw==,gAAAAABqhp8-OEFS6H7rx_Q6R5sJNMdMWjytb4B1KzPTPwA4yKKhbP6aKPonTp4FdHbc22ZS8faW9HBqmKaBdo_tKcA0Qk-CLw==
gAAAAABqhp8--3TPWB4j66MUvoujY3nsB5c49QSoriT5ep63bSlAgxEEY6iBxT2YM7_Rt-pBYfIFWHIfZryQ6WdfFRCiK_b3KQ==,gAAAAABqhp8-iUAhEqe6OuEe-YQnq3Z9MlS-gOidSWGH2wMmZDpQlytOjro7vp6nFCLDjUVvJCw83Y5qYn1PqsdPNT5naFb39Q==,gAAAAABqhp8-dZCQvU5ATXNr29dV0xbFx0xeFj4cY-GJWC9LvQ9T_lB7VUWumbTt0juRy0VGlDVJe9hB4zYpWzR33Rqtjq8PPA==,gAAAAABqhp8-ROWOBSqOAgE-E-zb7OSW4_ow0laSXc8giwQYifVlwAZIFy0wizcHj8fLfiltRLdiu466uUYkBdpQ0zaV6qWZTQ==,gAAAAABqhp8-o6dccyJi3FldB5hBE4iOJqimi1MK8dq-Na8hPh6sfmGv5JxJUpjYfJow3UmqUoezSVwB0XBPxu78in1uGX6ouw==
gAAAAABqhp8-Cu0rGI7dLOth3ANgpmEO0jMtHbm76cQkHatXXfDg_L_qnyd-4mFQm64zoZvw85WBLnKacVS0jOVpOdXPz0JiwQ==,gAAAAABqhp8-Br2QQ7zFUl8HOZErhS0N4WUwMhJgpxdNfJiXu5b7FZjF8QVfn5r3TkfG01-d_P5pScu3AwxfOpx8H2sElpkY5g==,gAAAAABqhp8-eCuEinXNjvWHBGNfWI73uHno9p4NR4A90SOj0ENbATzaOA4wQEU9tTSJ6JflEgOrHwMg-50nFkZ76UXDGUjNGA==,gAAAAABqhp8-18LyAGo56bqpbc-yjB3MpGmJ3tD6EcyydQBXGDFomRlYxcZHpbcnct4eDb0dVZiqBjcyoUTJMDzp5t_92Zq_sQ==,gAAAAABqhp8-oKuZ_DfKaSrBtQc_Oi-uQ9RuXWQQeUC0TOoQZPs5VIe4XL0VWOAiB3Zv-OHG2AK_Yo8FHlnMslI38yzZ8VuRgg==
gAAAAABqhp8-Lkkym9oUpLRF8SKhz_fwGiLpJkqS2XByjS7NRaJ_Mam5ak3F3YL12tnqxvVsHwbOPweJGQjFmLfQiqMNLnZVfg==,gAAAAABqhp8-BAElwrLvRXutG3aCW0PQCrDco9scYsWBNNt6AgQerg55F0Z4BvHftWtOO1nQ8_xGPXYVHe-6lWfwLX2Rvf7z-Q==,gAAAAABqhp8-3-5lZVVuzSNQ4wAbYnDr_evrqZaUwwSt-pzTVzu4nEh5xX1MnVqKvoXGLfNL325oTUZsXbv7gVSQX59Yst3zkQ==,gAAAAABqhp8-EZCnfzCcWbXmBlKHADJ1sI21SztLfXLoZNqSWPAbneXp2BZT_vXxvknitVJcidAGInxaVhognB4sB9FBzoljeQ==,gAAAAABqhp8-Odx3eU3Wvm_d3vhdEf7g39qUOES0lRIv3GHiwIKwNneNdJH_PjMlmO2kEJl6FSHWzB64tkIA1YdCWwmBXCyjew==
gAAAAABqhp8-0w4Z3tj_YmfoxYA-45J-oS3rrpgANAOiRO7iPh7bfNFzCPQ_bP0_nIP_cxpQn9rb2NitMVikNiRjLmce6Xw_iA==,gAAAAABqhp8-98AtYp6WZvHYtdA2zxsmatcPO0kgDFSz1Hsxq7VtVYQ1a35E0knIcuif_T-YPJsLEV2jAKG4xiyJqSmiQOXlmg==,gAAAAABqhp8-LihRR7vjVECuh4L7X_r_p6_Mo5toCNFvFlzzc7naXlgcRyH4PZ6EmK7iGbbFqkXK86QcxiCiJxwyWIz2j6vFTA==,gAAAAABqhp8-V81tlaqHzy1znaWNdKx5nq3qHRIRXApl8pH5z9zbrMtHp8vcwQaD9zg8YBjqbYfxxdKC6N36ygJpZJCriPgkeQ==,gAAAAABqhp8-3EQ7XwnSbGkYU_FNJHCLSgdBwY2Ggd6YhzcWde2BTx5EEYha32LfLEsfjKNxA7lREYbr9Bjr-9_s2NoCJCfU7A==
gAAAAABqhp8-pppfiS6j7OJlMsVkKe5iPvEBbUCUgurS_nhtN0stydF21ELINp4hbEB7PzU8PvrwUQY4_IT0kYwwzTlmUiT54g==,gAAAAABqhp8-dTGiBqcIwBqCNiWAACkGc7_EtyaFJNq10RYC9Qs3cl88OCNbOPEGdxaMNEHRm7SwHlCjDpJN_-KJGBBtKWraLw==,gAAAAABqhp8-Hxobzh8OTlA_u0bGBIYSSQV0jhXqtnHTnh-WggBCXqMfOfUrdI1mvJ-1YqXzkDxiWsRNSFUNyJj1rjoh_igc-w==,gAAAAABqhp8-WKhQvj2Z_Qr-YjuQANJioaKz0uQPbuldDvm62E0J54IDpwcgzIQ2jaISryuANFi6PqGQkEhq-SKxHMkYYqcfow==,gAAAAABqhp8-oma4BXsM_G_fbKDt9_Lvli_ra9p7_bxu28NjxamTOkNa5PJNtvLFDlorkLOBB04CqVfunQzp_KfPzBu2nZSD3w==
gAAAAABqhp8-yYdis3GrwYl2Y2WIDrxGXIU8ICINpw821XkxXUPRsNAAeKbIf3zNzdHgzJDIVoR6zKxZDG7Eo6sLbhZz9WE76g==,gAAAAABqhp8-DmNJ0yYxNuq6jspTBv7FiE_Ioe5yLMAAyl6baukXJOg1B-GyvcNiLzFfpBGyxSJQ_9Sve4GZFdjTFy4tboD_SA==,gAAAAABqhp8-Z8ouhe3SnXgV04fdkNG-4GkrmNEU03j7Uw18Bf1UVH9PF4_cSVLou68K-mZKIgnsC76JUSE0fOD5QZoDxnHWKQ==,gAAAAABqhp8-fM9pgagOGdZRyXJ-Qp6dprXGFxusCwYHk9Sd8bt9CyH5znA8B4kPSGzjxHggQaF9W6mKFPbmM3zVa667zYvQjw==,gAAAAABqhp8-vgdmHvF1hcwa_ZpwM_prRiyPagcg-4oSsCMf1fC5snUiSCos2tf5YLG5sfnNTxaLNVqqrZ3nFRBaFLPXhBQRiQ==
gAAAAABqhp8-nF-OBFSw9lZS9hES_tVv4jJr3SNtlI4vtW5mlHWLbHLzaT2JJqRjSAle1Mk5Rc7uCZJsTdLZMHnu4CyPyduFog==,gAAAAABqhp8-3aXLZQjtwqAi1tLTApkiscdHb-hMikueDkbQdXfcIGwIS4lNQrIn8dysPxXbQKeOS9_-CjiAHv7ML5GQLE82WA==,gAAAAABqhp8-D3HZuZSKx2Kpg7fABhPV-vx45Wpw9_IjNkDUj83Sk2SGHpuVtJfkRwjqsqv0axlfGtZvcDw6f3EJ5U2tZAxjBg==,gAAAAABqhp8-8tqRSq4nRm7YlL0cLfajpsuEeT_MkdGHKv5U1af6KIQDuXxy9FLhYZdRIYe399EDNfIwETGTA6w2iAlCsj3Aog==,gAAAAABqhp8-vRURnd1wOCxW5Mcod23WvKYS30QVC0XjiGluXOgG2eGyD1PZT5S4B0zgEkTHTp-Ikt2fzDPLDiAVjzijL3CPfA==
gAAAAABqhp8-4uIX3gMPXHJswwTomvlXGeWPyhFqtadGbaHjA6YyzXRmAxdTF9WOd7m7QwJpE6mkuBhPZ-A5hL6Jb41Oo4WGBg==,gAAAAABqhp8-JHFRmlGb0lwX7KV4K8sdrM47t6eLFw0u4JMYBPbOrYwlFsrtnIXL0HiM85sc1k79_lFz5dxTju_TpwBlFRf3Ag==,gAAAAABqhp8-aU-RdGbp1KmWX9W-5u_C1hw8RagtMiq0q-33LHGqWgf5fXq2nCOCcccesuLG4Y1bgFV3a5g0E51LWjZoYhC4MA==,gAAAAABqhp8-rgoWkNlbLuHJuoOGCsJejiT_qavRip69HpMTVcg-GKmtQAgw8eBiKEvVVkqx6e1Y7IxmnLjYQxdordCi9COYhg==,gAAAAABqhp8-Z2DelV_auUnS06gqiu7uTr5oKAgFDFShZgY4MHvB4Id3gK-Xsy14f9earO5PihH9y4M4fcyOprE3n1DwRMnqQQ==
